ID,Serie_titol,edad,IMDB_vots,IMDB_nota,temporades,episodis,data_inici,data_final,duració,plataforma,genere
tt0108783,Gargoyles,2,15866,8.1,2,78,10/24/1994,2/15/1997,845,ABC,"action, adventure, crime, drama, familia, fantasy, mystery, romance, thriller"
tt7945066,gen:LOCK,5,1488,7.2,2,20,1/26/2019,12/23/2021,1062,"Rooster Teeth, Adult Swim, HBO Max","action, adventure, fantasy, science fiction"
tt1865718,Gravity Falls,2,91329,8.9,2,40,6/15/2012,2/15/2016,1340,Disney Channel,"action, adventure, comedia, drama, familia, fantasy, horror, mystery, science fiction, thriller"
tt7658402,Harley Quinn,7,21337,8.5,2,26,11/29/2019,,792,HBO Max,"action, adventure, comedia, crime, fantasy, mystery, science fiction"
tt7216636,Hazbin Hotel,7,3740,7.6,1,1,10/28/2019,10/28/2019,0,YouTube,"comedia, crime, drama, fantasy, horror, musical"
tt10691770,Helluva Boss,7,3150,7.8,1,9,11/25/2019,,796,YouTube,"comedia, crime, fantasy, horror, musical"
tt0115200,Hey Arnold!,2,32684,7.6,5,100,10/7/1996,6/8/2004,2801,Nickelodeon,"comedia, drama, familia"
tt13635348,High Guardian Spice,7,1477,1.2,1,12,10/26/2021,,95,Crunchyroll Originals,"action, adventure, comedia, fantasy"
tt9077562,Hoops,7,5710,6,1,10,8/21/2020,8/21/2020,0,Netflix,"comedia, sport"
tt6741278,Invincible,7,103853,8.7,2,8,3/26/2021,,309,Amazon Prime,"action, adventure, drama, fantasy, science fiction, thriller"
tt11198220,Jellystone!,4,414,6.2,1,11,7/29/2021,7/29/2021,0,HBO Max,"adventure, comedia, familia, short"
tt0118375,King of the Hill,5,49863,7.3,13,259,1/12/1997,6/13/2009,4535,Fox,"comedia, drama"
tt10482560,Kipo and the Age of Wonderbeasts,2,4935,8.2,3,30,1/14/2020,10/12/2020,272,Netflix,"action, adventure, comedia, fantasy, science fiction"
tt11237954,Loafy,none listed,69,6.7,1,8,8/8/2020,9/5/2020,28,comedia Central,comedia
tt11714912,Madagascar: A Little Wild,1,182,5.7,6,37,9/7/2020,,509,"Hulu, Peacock","adventure, comedia, familia, musical"
tt7683028,Magical Girl Friendship Squad: Origins,7,699,1.8,1,6,1/1/2020,1/1/2020,35,SyFy,"comedia, short"
tt9811118,Marvel's M.O.D.O.K.,7,4399,6.3,1,10,5/21/2021,5/21/2021,0,Hulu,"action, comedia, crime, thriller"
