ID,show_title,confirmation_date,character_name,race,gender,orientation,role,representation
tt0121955,South Park,2/11/1998,Ms. Ellen,POC,Mujer Cis,Lesbiana,Personaje Invitado,Implícito
tt0121955,South Park,8/13/1997,Liane Cartman,Blanco,Mujer Cis,Bisexual,Personaje Recurrente,Implícito
tt0121955,South Park,8/13/1997,Herbert Garrison,Blanco,Mujer Trans,Lesbiana,Personaje Principal,Explícito
tt0108937,Space Ghost Coast to Coast,12/25/1994,Lokar,N/A,Hombre Cis,Gay,Personaje Recurrente,Implícito
tt0206512,SpongeBob SquarePants,5/1/1999,SpongeBob,N/A,Hombre Cis,Asexual,Personaje Principal,Implícito
tt9184820,Star Trek: Lower Decks,8/6/2020,Andy Billups,Blanco,Hombre Cis,Asexual,Personaje Recurrente,Implícito
tt9184820,Star Trek: Lower Decks,8/20/2020,Jennifer Sh'reyan,N/A,Mujer Cis,Lesbiana,Personaje Recurrente,Explícito
tt9184820,Star Trek: Lower Decks,8/6/2020,Beckett Mariner,POC,Mujer Cis,Pansexual,Personaje Principal,Explícito
tt9795876,Star Trek: Prodigy,10/28/2021,Zero,N/A,Agénero,Indeterminado,Personaje Principal,Explícito
tt2758770,Star vs. the Forces of Evil,1/18/2015,Jackie Lynn Thomas,Blanco,Mujer Cis,Indeterminado,Personaje Recurrente,Implícito
tt8336340,Star Wars Resistance,10/7/2018,Orka,N/A,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt8336340,Star Wars Resistance,10/7/2018,Flix,N/A,Hombre Cis,Gay,Personaje Recurrente,Explícito
tt0247729,Static Shock,9/23/2000,Richie Foley,Blanco,Hombre Cis,Gay,Personaje Principal,Implícito
tt3061046,Steven Universe,11/18/2013,Harold Smiley,POC,Hombre Cis,Gay,Personaje Recurrente,Implícito
tt3061046,Steven Universe,11/18/2013,Quentin Frowney,Blanco,Hombre Cis,Indeterminado,Personaje Invitado,Implícito
tt3061046,Steven Universe,1/15/2015,Stevonnie,POC,Intersexual,Indeterminado,Personaje Recurrente,Explícito
tt3061046,Steven Universe,11/4/2013,Sapphire,N/A,No Binario,Lesbiana,Personaje Recurrente,Explícito
tt3061046,Steven Universe,11/4/2013,Ruby,N/A,No Binario,Lesbiana,Personaje Recurrente,Explícito
tt3061046,Steven Universe,1/8/2015,Peridot,N/A,No Binario,Asexual,Personaje Recurrente,Explícito
tt3061046,Steven Universe,4/9/2015,Rose Quartz,N/A,No Binario,Bisexual,Personaje Recurrente,Explícito
tt3061046,Steven Universe,11/4/2013,Pearl,N/A,No Binario,Queer,Personaje Secundario,Explícito
tt3061046,Steven Universe,8/4/2016,Bismuth,N/A,No Binario,Queer,Personaje Recurrente,Explícito
tt3061046,Steven Universe,11/4/2013,Sadie Miller,Blanco,Indeterminado,Indeterminado,Personaje Recurrente,Explícito
tt3061046,Steven Universe,11/18/2013,Kiki Pizza,POC,Indeterminado,Indeterminado,Personaje Recurrente,Implícito
tt13714610,Steven Universe Future,12/28/2019,Shep,POC,No Binario,Indeterminado,Personaje Invitado,Explícito
tt8146760,Summer Camp Island,7/7/2018,Alien King,N/A,Hombre Cis,Indeterminado,Personaje Recurrente,Explícito
tt8146760,Summer Camp Island,7/7/2018,Kent,N/A,Hombre Cis,Gay,Personaje Secundario,Explícito
tt8146760,Summer Camp Island,7/7/2018,Cole,N/A,Hombre Cis,Gay,Personaje Secundario,Explícito
tt8146760,Summer Camp Island,7/7/2018,Ava,N/A,Mujer Cis,Lesbiana,Personaje Secundario,Explícito
